card_id,anki_guid,authoring_note_id
PYI_04_009,m~6T1}|8]y,1788409800726
PYI_04_010,k&3#ar$xm&,1788409800727
PYI_04_011,ezO[CajZ!Z,1788409800728
PYI_04_012,dxBiU(;VY~,1788409800729
PYI_04_013,"n}_2EX(U,m",1788409800730
PYI_04_014,"A$,3bG}oI)",1788409800731
PYI_04_015,Hv!!irCmQ0,1788409800732
PYI_04_016,q=[7FS~GXJ,1788409800733
PYI_04_017,bD<pihgAFM,1788409800734
PYI_04_018,bSe4U3nNL%,1788409800735
PYI_04_019,P]{#[hY)NN,1788409800736
PYI_04_020,szlhItoLep,1788409800737
PYI_04_021,HH+}i_:?ef,1788409800738
PYI_04_022,F@1<HhdO0^,1788409800739
PYI_04_023,mmy>u]WZ|>,1788409800740
PYI_04_024,l]7|0te#;F,1788409800741
PYI_05_001,BDNx`$_|j&,1788409800742
PYI_05_002,oS<`HDu{<e,1788409800743
PYI_05_003,DP]lsej^Ja,1788409800744
PYI_05_004,PrL{P%Z>w$,1788409800745
PYI_05_005,otupiy=QL#,1788409800746
PYI_05_006,"xg+=,[;I^y",1788409800747
PYI_05_007,pJRC>@E7~v,1788409800748
PYI_05_008,D6lqCRD?[%,1788409800749
PYI_05_009,cRmMZI|FTs,1788409800750
PYI_05_010,Di1~KW[A=`,1788409800751
PYI_05_011,Pos^<9bJpu,1788409800752
PYI_05_012,odBg]6|:|w,1788409800753
PYI_05_013,CCG^[ie:~8,1788409800754
PYI_05_014,u>?FDH551*,1788409800755
PYI_05_015,nT%6Otbx<L,1788409800756
PYI_05_016,"h,=N~#7T>&",1788409800757
PYI_05_017,"F7%+r,/`o7",1788409800758
PYI_05_018,KYcAn8_BC{,1788409800759
PYI_05_019,"vsu{AW],ke",1788409800760
PYI_05_020,N$Qn-d-Uzx,1788409800761
PYI_05_021,HPZJ~t|&<E,1788409800762
PYI_05_022,ybOD&S~ji|,1788409800763
PYI_05_023,E_yaFBX@Df,1788409800764
PYI_05_024,"l.NPFt,u?b",1788409800765
PYI_06_001,"HtvK1z,g!;",1788409800766
PYI_06_002,c3Vznf+tWM,1788409800767
PYI_06_003,FF_z4]gAY5,1788409800768
PYI_06_004,F`h!qd{^J4,1788409800769
PYI_06_005,BYWPI[n?jC,1788409800770
PYI_06_006,hDq84t8-]|,1788409800771
PYI_06_007,FuB&|ANW1Q,1788409800772
PYI_06_008,bQEwP5:cP5,1788409800773
PYI_06_009,h9?<~IL<RD,1788409800774
PYI_06_010,OZl|zsic4x,1788409800775
PYI_06_011,B!5:cw]ion,1788409800776
PYI_06_012,vi*e?)2be(,1788409800777
PYI_06_013,Jz5p{$C5Kj,1788409800778
PYI_06_014,wk2YNeOIix,1788409800779
PYI_06_015,G]~.rxM[^Q,1788409800780
PYI_06_016,Go_r8!O*GP,1788409800781
PYI_06_017,HD.hf5*]lk,1788409800782
PYI_06_018,fFxD&;KU[v,1788409800783
PYI_06_019,iZ&v3I}_?E,1788409800784
PYI_06_020,ljf_t2L~A7,1788409800785
PYI_06_021,whZ~E.thvu,1788409800786
PYI_06_022,b$D6QvO3~#,1788409800787
PYI_06_023,"Hs+tzG,*86",1788409800788
PYI_06_024,GlVY/2i-&1,1788409800789
PYI_06_025,rBXc6tPIV],1788409800790
PYI_06_026,btW*(->&Eq,1788409800791
PYI_06_027,b+.eb9Qehy,1788409800792
PYI_06_028,ORqTdOh`Dn,1788409800793
PYI_06_029,vsE-HJYJ54,1788409800794
PYI_06_030,K0QbzU1LR*,1788409800795
PYI_06_031,ILS3Cd9q*,1788409800796
PYI_07_001,Mi9U`de>)u,1788409800797
PYI_07_002,HNoitwz`22,1788409800798
PYI_07_003,Er|c)p3*V#,1788409800799
PYI_07_004,D}X(2d^p4R,1788409800800
PYI_07_005,BcvTYj?bt(,1788409800801
PYI_07_006,QQa/ndY:)g,1788409800802
PYI_07_007,t$1nE=:{Z8,1788409800803
PYI_07_008,l._vAJQ^P],1788409800804
PYI_07_009,nacPl#Mqn*,1788409800805
PYI_07_010,zl@+xP%UiZ,1788409800806
PYI_07_011,"xNvW0K9(,j",1788409800807
PYI_07_012,OzDBXTXi{I,1788409800808
PYI_08_001,IkuN1Y#oGo,1788409800809
PYI_08_002,uuX-8S1#GI,1788409800810
PYI_08_003,vScsnQg<r},1788409800811
PYI_08_004,i}~d(fAvn@,1788409800812
PYI_08_005,jKbV:vn.Q@,1788409800813
PYI_08_006,xW=bMMk?8I,1788409800814
PYI_08_007,n>^gec5]J>,1788409800815
PYI_08_008,C{3B=]L0a7,1788409800816
PYI_08_009,jnAUK4^hTk,1788409800817
PYI_08_010,o{@`jOZMLD,1788409800818
PYI_08_011,IP=Xj9d4qc,1788409800819
PYI_08_012,MRKeYM{`P_,1788409800820
PYI_08_013,Dp6Il&+N06,1788409800821
PYI_08_014,j$;B>i#*RS,1788409800822
PYI_08_015,G*x1QZj*Ah,1788409800823
PYI_08_016,c_YAe%tW4?,1788409800824
PYI_08_017,oO$(.tIFdl,1788409800825
PYI_08_018,OelI/+}!DN,1788409800826
PYI_09_001,oK3E&Y5hvF,1788409800827
PYI_09_002,DN.`4VNz2v,1788409800828
PYI_09_003,kGjXZJLPkJ,1788409800829
PYI_09_004,QV[)M$/E@S,1788409800830
PYI_09_005,c+2q@&Ck1&,1788409800831
PYI_09_006,Mub@.(:z8#,1788409800832
PYI_09_007,n:`rC(l;34,1788409800833
PYI_09_008,etka0$9K_3,1788409800834
PYI_09_009,wPe#?AD$}o,1788409800835
PYI_09_010,Nz5j7b{9&B,1788409800836
PYI_10_001,"Na5r,W?s|I",1788409800837
PYI_10_002,j>zZ2UkFl~,1788409800838
PYI_10_003,n+peb&.uDi,1788409800839
PYI_10_004,e64/1~j9x^,1788409800840
PYI_10_005,qk=4EY8e_s,1788409800841
PYI_10_006,c<ZOr%#NZJ,1788409800842
PYI_10_007,H^!MMH6(jA,1788409800843
PYI_10_008,Ggmn;{l&<B,1788409800844
PYI_10_009,$r>U9Ko:(,1788409800845
PYI_10_010,"O}W,-Y6z2J",1788409800846
PYI_10_011,b_orfu%3?6,1788409800847
PYI_10_012,"tA,27=7XUv",1788409800848
PYI_10_013,f!`nyQH9F.,1788409800849
PYI_10_014,FBk#NQh=6$,1788409800850
PYI_10_015,euu^N%OAt},1788409800851
PYI_10_016,g1q%KFU-`/,1788409800852
PYI_11_001,icMOGI[E{X,1788409800853
PYI_11_002,DP@ouKe<yj,1788409800854
PYI_11_003,uZccRBM>kR,1788409800855
PYI_11_004,"F,9i[`RmMq",1788409800856
PYI_11_005,A|(Bt2pf={,1788409800857
PYI_11_006,N6DdS7:MQ^,1788409800858
PYI_11_007,ARROs7G(kO,1788409800859
PYI_11_008,c})AL/2+D$,1788409800860
PYI_11_009,NVBKSyHLrd,1788409800861
PYI_11_010,n/?u}3}j~l,1788409800862
PYI_11_011,OlI)F1`db&,1788409800863
PYI_11_012,G|Jd^Hhgbk,1788409800864
PYI_11_013,MV6v<@g>!=,1788409800865
PYI_11_014,EKET?k_S=X,1788409800866
PYI_12_001,qtG]K4H5w0,1788409800867
PYI_12_002,J!W.dASPD5,1788409800868
PYI_12_003,HCIod6F|(|,1788409800869
PYI_12_004,FdvSM&rADa,1788409800870
PYI_12_005,FlO`BiBD;},1788409800871
PYI_12_006,iB}mM[wB#p,1788409800872
PYI_12_007,mzoAP:5Lbt,1788409800873
PYI_12_008,nO_2T-~4>e,1788409800874
PYI_12_009,hK>2as:cd<,1788409800875
PYI_12_010,m}]nj%k#BW,1788409800876
PYI_12_011,Q$&c^u?WWf,1788409800877
PYI_12_012,E3v7GD91nJ,1788409800878
PYI_12_013,l<gsO0h|[U,1788409800879
PYI_12_014,k4;m=QoS-o,1788409800880
PYI_13_001,FTM|v)p$3P,1788409800881
PYI_13_002,NGxDfMZWgZ,1788409800882
PYI_13_003,"M5mEMs6,K(",1788409800883
PYI_13_004,kIpmtTs4<.,1788409800884
PYI_13_005,"r*d*l>ru;,",1788409800885
PYI_13_006,M)OSE?}Cl.,1788409800886
PYI_13_007,G_Y9q6}@:7,1788409800887
PYI_13_008,h&Y7$HU_x},1788409800888
PYI_13_009,JIcttr15{=,1788409800889
PYI_13_010,w|Pw]hPfQg,1788409800890
PYI_13_011,e+g;WBVL%D,1788409800891
PYI_13_012,gwP]5pxp)H,1788409800892
PYI_14_001,eXS%xJMj$_,1788409800893
PYI_14_002,ua|xr2`uGY,1788409800894
PYI_14_003,IJ#7K_*sC6,1788409800895
PYI_14_004,s3v9w9J`JV,1788409800896
PYI_14_005,t:WN>]n45k,1788409800897
PYI_14_006,bDlK{2g[9[,1788409800898
PYI_14_007,P:o7nFOG.<,1788409800899
PYI_14_008,q>N%W8<pQI,1788409800900
PYI_14_009,e+n~h9)ODc,1788409800901
PYI_14_010,"KhG58,}i!g",1788409800902
PYI_14_011,t]Iq8nrcOn,1788409800903
PYI_14_012,F%N[!S]HJN,1788409800904
PYI_14_013,"ORB2O(y2i,",1788409800905
PYI_14_014,JJS-Sj%0C>,1788409800906
PYI_14_015,K~W+&tlu#8,1788409800907
PYI_14_016,nu$-8%F<8?,1788409800908
PYI_14_017,Ja_Q;(:u_D,1788409800909
PYI_14_018,n}H|m_//62,1788409800910
PYI_14_019,n}l-t{xWJQ,1788409800911
PYI_14_020,Kp>KT]3MpS,1788409800912
PYI_15_001,levPk5F@LP,1788409800913
PYI_15_002,HG%[_5rs~H,1788409800914
PYI_15_003,n/*QkmdaOY,1788409800915
PYI_15_004,O#f8B`L*m2,1788409800916
PYI_15_005,Ks{Tt8qAae,1788409800917
PYI_15_006,D-;Y4:`iLI,1788409800918
PYI_15_007,fj9Kc|Aw29,1788409800919
PYI_15_008,Q}1tmcC5#s,1788409800920
PYI_15_009,PY~U$a=$|B,1788409800921
PYI_15_010,hp[FTV(X-w,1788409800922
PYI_15_011,d}<H6~[heE,1788409800923
PYI_15_012,i4dj.<fuQH,1788409800924
PYI_15_013,^Z/xbz>Xi,1788409800925
PYI_15_014,E[KSl7+.N5,1788409800926
PYI_15_015,G1s{Gv$RJY,1788409800927
PYI_15_016,P$w@mvFtRS,1788409800928
PYI_15_017,"LD/((6>ZB,",1788409800929
PYI_15_018,u*8wPC;CZm,1788409800930
PYI_15_019,vm&I={c*h-,1788409800931
PYI_15_020,H_AXzg<X8s,1788409800932
PYI_15_021,Cx/:cg7nK;,1788409800933
PYI_15_022,lHY+C!*:92,1788409800934
PYI_16_001,wOW(cB`oMG,1788409800935
PYI_16_002,hly3zrA|<|,1788409800936
PYI_16_003,IdQsCj)e<8,1788409800937
PYI_16_004,G3.@Hu*p6{,1788409800938
PYI_16_005,MP5-<%t;O,1788409800939
PYI_16_006,LLI{knF6`&,1788409800940
PYI_16_007,F;<A&ivA$[,1788409800941
PYI_16_008,ysmF+6$H{s,1788409800942
PYI_16_009,u.!$3=`3kR,1788409800943
PYI_16_010,eDTfftObG9,1788409800944
PYI_16_011,m]oq<9)/XN,1788409800945
PYI_16_012,seARFn5#2z,1788409800946
PYI_16_013,l)CfNoMBqO,1788409800947
PYI_16_014,G|&rf%]T|r,1788409800948
PYI_16_015,IFw|;~ZsYE,1788409800949
PYI_16_016,m#h_8iBEA@,1788409800950
PYI_16_017,RjBvAb({c%,1788409800951
PYI_16_018,xw~)dlg08A,1788409800952
PYI_16_019,K^oaXLuCXA,1788409800953
PYI_16_020,IR}=[`<ImP,1788409800954
PYI_16_021,"L8451,NYx+",1788409800955
PYI_16_022,H|]{jYeE%G,1788409800956
PYI_16_023,C[5eXty)98,1788409800957
PYI_16_024,zm~~I]t.YD,1788409800958
PYI_17_001,wmANF/F2jY,1788409800959
PYI_17_002,"wg3Jp,JLK,",1788409800960
PYI_17_003,"M5&1,(}9Zx",1788409800961
PYI_17_004,d>PBtf$rbm,1788409800962
PYI_17_005,M;qGEX(f66,1788409800963
PYI_17_006,OJ)S:HNk4M,1788409800964
PYI_17_008,"m#Yh0#,L]x",1788409800965
PYI_17_009,w(ulQ[u_:|,1788409800966
PYI_17_010,AFo[mgllH*,1788409800967
PYI_17_011,?BJ^DxzFK,1788409800968
PYI_17_012,IAXW~Up5=F,1788409800969
PYI_17_013,H]7/~I$9t[,1788409800970
PYI_17_014,CCO&SYfLl`,1788409800971
PYI_17_015,d^;R:-u8eC,1788409800972
PYI_17_016,kmlP/>(LI^,1788409800973
PYI_17_017,FEMmUgMsDm,1788409800974
PYI_17_018,"EzV,te|p#|",1788409800975
PYI_17_019,Es};d`b&m7,1788409800976
PYI_18_001,ei7.EXZAJe,1788409800977
PYI_18_002,"d[,>xEirHW",1788409800978
PYI_18_003,L}5aFNz<FC,1788409800979
PYI_18_004,Es}ZiP4Du(,1788409800980
PYI_18_005,O@/^CdA|;8,1788409800981
PYI_18_006,IoL~)Sb$om,1788409800982
PYI_18_007,t^Oh{p18^$,1788409800983
PYI_18_008,yAsE~HqT.?,1788409800984
PYI_18_009,BI}<{HUXE0,1788409800985
PYI_18_010,H6eKerf%q.,1788409800986
PYI_18_011,"BS{Y(=s?&,",1788409800987
PYI_18_012,CfSN00gn)H,1788409800988
PYI_18_013,Cs}N8]h5(&,1788409800989
PYI_18_014,us6mM/KpqI,1788409800990
PYI_18_015,DYrAjf0I.g,1788409800991
PYI_18_016,"j>T`4P,8vl",1788409800992
PYI_18_017,HfmK9A+Nl(,1788409800993
PYI_18_018,IKMWPhN^.j,1788409800994
PYI_18_019,v6|:q_Sh?q,1788409800995
PYI_19_001,Jm7hah@w]Y,1788409800996
PYI_19_002,A#np3a[*a3,1788409800997
PYI_19_003,NazRQHt7A!,1788409800998
PYI_19_004,EFexr]vIPQ,1788409800999
PYI_19_005,K}a)=1]7R~,1788409801000
PYI_19_006,G~Tjnnx&~t,1788409801001
PYI_19_007,q|xOF!0B`a,1788409801002
PYI_19_008,lUI)]r0m>t,1788409801003
PYI_19_009,P(UfK504^[,1788409801004
PYI_19_010,d(%e]fdLhI,1788409801005
PYI_19_011,"DC,[4un<be",1788409801006
PYI_19_012,"h[zx.,AhFJ",1788409801007
PYI_19_013,"m%f$,8Sc}{",1788409801008
PYI_19_014,mf7kFLZn8J,1788409801009
PYI_19_015,yiW~q#NE:D,1788409801010
PYI_19_016,i2(|WA}UMt,1788409801011
PYI_19_017,"k,O4m~46K,",1788409801012
PYI_19_018,y.(iXzJPiq,1788409801013
PYI_19_019,lEIHC.LM5c,1788409801014
PYI_19_020,xQcciSC!v8,1788409801015
PYI_19_021,lw*1$EySpE,1788409801016
PYI_20_001,b;A&(89}Ge,1788409801017
PYI_20_002,nj_ka56Ax;,1788409801018
PYI_20_003,nMXe=be~GR,1788409801019
PYI_20_004,x!Qw1cw)Mp,1788409801020
PYI_20_005,"e,*+><+wa(",1788409801021
PYI_20_006,"I(vhE,uda^",1788409801022
PYI_20_007,bzP9R5#M`M,1788409801023
PYI_20_008,quJTYKOy``,1788409801024
PYI_20_009,H9K:1Zny(F,1788409801025
PYI_20_010,Cpaq?;.R%5,1788409801026
PYI_20_011,ByxTe^hH7{,1788409801027
PYI_20_012,ey*z|;t0S?,1788409801028
PYI_20_013,H{>}Vd/AaE,1788409801029
PYI_20_014,mw?kro{OWq,1788409801030
PYI_20_015,Z!b$O0](:,1788409801031
PYI_20_016,Q`Q}X6ujFm,1788409801032
PYI_20_017,Al|2lN](:_,1788409801033
PYI_20_018,"L^>xYB,5Ep",1788409801034
PYI_20_019,QL7[:n5[wy,1788409801035
PYI_20_020,I^K)-nx^mG,1788409801036
PYI_20_021,"rP`,D.(9l2",1788409801037
PYI_20_022,s.%v9tBpX/,1788409801038
PYI_20_023,xpWx5?^C^S,1788409801039
PYI_20_024,y_5EL=|H#p,1788409801040
PYI_21_001,"ddFV6Zz`N,",1788409801041
PYI_21_002,I{uSVN]d/L,1788409801042
PYI_21_003,wHX9P~5%;Z,1788409801043
PYI_21_004,GDG7&;m_Rc,1788409801044
PYI_21_005,MRwx5A{Y2[,1788409801045
PYI_21_006,vcPQ~G<0V0,1788409801046
PYI_21_007,v?dd*jkKAQ,1788409801047
PYI_22_001,vo)OtZngq^,1788409801048
PYI_22_002,z^B`8`qXf`,1788409801049
PYI_22_003,efK`v#ZWL2,1788409801050
PYI_22_004,up/N/N$6YT,1788409801051
PYI_22_005,zW?/#nOav0,1788409801052
PYI_22_006,lEy~=;N%[G,1788409801053
PYI_22_007,G=x_Hsg=!W,1788409801054
PYI_23_001,j^_kqKe[#q,1788409801055
PYI_23_002,Ba358^Hqv%,1788409801056
PYI_23_003,"rKH?~aK,h7",1788409801057
PYI_23_004,"g(ex=Uil:,",1788409801058
PYI_23_005,gQNUE:&h9],1788409801059
PYI_23_006,kZIje;JWwg,1788409801060
PYI_23_007,"o-Ri6J$,+=",1788409801061
