ref_tag,source_file,question_ordinal,start_line,end_line,popularity_score,answer_ref
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_11,architecture/architecture_patterns.md,11,599,632,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L599-L632
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_12,architecture/architecture_patterns.md,12,633,767,13,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L633-L767
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_13,architecture/architecture_patterns.md,13,768,834,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L768-L834
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_14,architecture/architecture_patterns.md,14,835,937,18,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L835-L937
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_15,architecture/architecture_patterns.md,15,938,970,24,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L938-L970
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_16,architecture/architecture_patterns.md,16,971,1049,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L971-L1049
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_17,architecture/architecture_patterns.md,17,1050,1146,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L1050-L1146
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_18,architecture/architecture_patterns.md,18,1147,1229,12,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L1147-L1229
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_19,architecture/architecture_patterns.md,19,1230,1297,17,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L1230-L1297
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_20,architecture/architecture_patterns.md,20,1298,1354,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L1298-L1354
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_21,architecture/architecture_patterns.md,21,1355,1423,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L1355-L1423
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_22,architecture/architecture_patterns.md,22,1424,1486,12,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L1424-L1486
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_23,architecture/architecture_patterns.md,23,1487,1553,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L1487-L1553
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_24,architecture/architecture_patterns.md,24,1554,1612,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L1554-L1612
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_25,architecture/architecture_patterns.md,25,1613,1770,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L1613-L1770
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_26,architecture/architecture_patterns.md,26,1771,1864,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L1771-L1864
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_27,architecture/architecture_patterns.md,27,1865,1977,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L1865-L1977
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_28,architecture/architecture_patterns.md,28,1978,2035,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L1978-L2035
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_29,architecture/architecture_patterns.md,29,2036,2087,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L2036-L2087
TV_ARCHITECTURE_DDD_01,architecture/ddd.md,1,3,58,29,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L3-L58
TV_ARCHITECTURE_DDD_02,architecture/ddd.md,2,59,317,10,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L59-L317
TV_ARCHITECTURE_DDD_03,architecture/ddd.md,3,318,374,11,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L318-L374
TV_ARCHITECTURE_DDD_04,architecture/ddd.md,4,375,456,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L375-L456
TV_ARCHITECTURE_DDD_05,architecture/ddd.md,5,457,594,17,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L457-L594
TV_ARCHITECTURE_DDD_06,architecture/ddd.md,6,595,638,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L595-L638
TV_ARCHITECTURE_DDD_07,architecture/ddd.md,7,639,803,18,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L639-L803
TV_ARCHITECTURE_DDD_08,architecture/ddd.md,8,804,866,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L804-L866
TV_ARCHITECTURE_DDD_09,architecture/ddd.md,9,867,913,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L867-L913
TV_ARCHITECTURE_DDD_10,architecture/ddd.md,10,914,1005,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L914-L1005
TV_ARCHITECTURE_DDD_11,architecture/ddd.md,11,1006,1048,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L1006-L1048
TV_ARCHITECTURE_DDD_12,architecture/ddd.md,12,1049,1076,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L1049-L1076
TV_ARCHITECTURE_DDD_13,architecture/ddd.md,13,1077,1102,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L1077-L1102
TV_ARCHITECTURE_DDD_14,architecture/ddd.md,14,1103,1154,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L1103-L1154
TV_ARCHITECTURE_DDD_15,architecture/ddd.md,15,1155,1255,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L1155-L1255
TV_ARCHITECTURE_DDD_16,architecture/ddd.md,16,1256,1324,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L1256-L1324
TV_ARCHITECTURE_DDD_17,architecture/ddd.md,17,1325,1431,19,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L1325-L1431
TV_ARCHITECTURE_DDD_18,architecture/ddd.md,18,1432,1458,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L1432-L1458
TV_ARCHITECTURE_DDD_19,architecture/ddd.md,19,1459,1513,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L1459-L1513
TV_ARCHITECTURE_DDD_20,architecture/ddd.md,20,1514,1554,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L1514-L1554
TV_ARCHITECTURE_DDD_21,architecture/ddd.md,21,1555,1573,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L1555-L1573
TV_ARCHITECTURE_DDD_22,architecture/ddd.md,22,1574,1669,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/ddd.md#L1574-L1669
TV_ARCHITECTURE_MICROSERVICES_01,architecture/microservices.md,1,3,40,10,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/microservices.md#L3-L40
TV_ARCHITECTURE_MICROSERVICES_02,architecture/microservices.md,2,41,73,31,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/microservices.md#L41-L73
TV_ARCHITECTURE_MICROSERVICES_03,architecture/microservices.md,3,74,125,26,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/microservices.md#L74-L125
TV_ARCHITECTURE_MICROSERVICES_04,architecture/microservices.md,4,126,163,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/microservices.md#L126-L163
TV_ARCHITECTURE_MICROSERVICES_05,architecture/microservices.md,5,164,203,17,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/microservices.md#L164-L203
TV_ARCHITECTURE_MICROSERVICES_06,architecture/microservices.md,6,204,277,22,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/microservices.md#L204-L277
TV_ARCHITECTURE_MICROSERVICES_07,architecture/microservices.md,7,278,375,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/microservices.md#L278-L375
TV_ARCHITECTURE_MICROSERVICES_08,architecture/microservices.md,8,376,434,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/microservices.md#L376-L434
TV_ARCHITECTURE_MICROSERVICES_09,architecture/microservices.md,9,435,496,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/microservices.md#L435-L496
TV_ARCHITECTURE_MICROSERVICES_10,architecture/microservices.md,10,497,603,10,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/microservices.md#L497-L603
TV_ARCHITECTURE_SYSTEM_DESIGN_01,architecture/system_design.md,1,3,72,22,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/system_design.md#L3-L72
TV_ARCHITECTURE_SYSTEM_DESIGN_02,architecture/system_design.md,2,73,180,10,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/system_design.md#L73-L180
TV_ARCHITECTURE_SYSTEM_DESIGN_03,architecture/system_design.md,3,181,305,23,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/system_design.md#L181-L305
TV_ARCHITECTURE_SYSTEM_DESIGN_04,architecture/system_design.md,4,306,413,15,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/system_design.md#L306-L413
TV_ARCHITECTURE_SYSTEM_DESIGN_05,architecture/system_design.md,5,414,472,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/system_design.md#L414-L472
TV_COMPUTER_SCIENCE_ALGORITHMES_01,computer_science/algorithmes.md,1,3,96,15,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L3-L96
TV_COMPUTER_SCIENCE_ALGORITHMES_02,computer_science/algorithmes.md,2,97,121,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L97-L121
TV_COMPUTER_SCIENCE_ALGORITHMES_03,computer_science/algorithmes.md,3,122,155,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L122-L155
TV_COMPUTER_SCIENCE_ALGORITHMES_04,computer_science/algorithmes.md,4,156,161,26,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L156-L161
TV_COMPUTER_SCIENCE_ALGORITHMES_05,computer_science/algorithmes.md,5,162,167,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L162-L167
TV_COMPUTER_SCIENCE_ALGORITHMES_06,computer_science/algorithmes.md,6,168,198,16,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L168-L198
TV_COMPUTER_SCIENCE_ALGORITHMES_07,computer_science/algorithmes.md,7,199,233,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L199-L233
TV_COMPUTER_SCIENCE_ALGORITHMES_08,computer_science/algorithmes.md,8,234,243,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L234-L243
TV_COMPUTER_SCIENCE_ALGORITHMES_09,computer_science/algorithmes.md,9,244,283,10,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L244-L283
TV_COMPUTER_SCIENCE_ALGORITHMES_10,computer_science/algorithmes.md,10,284,324,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L284-L324
TV_COMPUTER_SCIENCE_ALGORITHMES_11,computer_science/algorithmes.md,11,325,378,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L325-L378
TV_COMPUTER_SCIENCE_ALGORITHMES_12,computer_science/algorithmes.md,12,379,415,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L379-L415
TV_COMPUTER_SCIENCE_ALGORITHMES_13,computer_science/algorithmes.md,13,416,436,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L416-L436
TV_COMPUTER_SCIENCE_ALGORITHMES_14,computer_science/algorithmes.md,14,437,461,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L437-L461
TV_COMPUTER_SCIENCE_ALGORITHMES_15,computer_science/algorithmes.md,15,462,479,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L462-L479
TV_COMPUTER_SCIENCE_ALGORITHMES_16,computer_science/algorithmes.md,16,480,499,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L480-L499
TV_COMPUTER_SCIENCE_ALGORITHMES_17,computer_science/algorithmes.md,17,500,515,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L500-L515
TV_COMPUTER_SCIENCE_ALGORITHMES_18,computer_science/algorithmes.md,18,516,530,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L516-L530
TV_COMPUTER_SCIENCE_ALGORITHMES_19,computer_science/algorithmes.md,19,531,551,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L531-L551
TV_COMPUTER_SCIENCE_ALGORITHMES_20,computer_science/algorithmes.md,20,552,601,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/algorithmes.md#L552-L601
TV_COMPUTER_SCIENCE_COMPUTER_SCIENCE_01,computer_science/computer_science.md,1,3,49,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/computer_science.md#L3-L49
TV_COMPUTER_SCIENCE_COMPUTER_SCIENCE_02,computer_science/computer_science.md,2,50,77,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/computer_science.md#L50-L77
TV_COMPUTER_SCIENCE_DATA_STRUCTURES_01,computer_science/data_structures.md,1,3,32,10,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/data_structures.md#L3-L32
TV_COMPUTER_SCIENCE_DATA_STRUCTURES_02,computer_science/data_structures.md,2,33,62,68,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/data_structures.md#L33-L62
TV_COMPUTER_SCIENCE_DATA_STRUCTURES_03,computer_science/data_structures.md,3,63,84,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/data_structures.md#L63-L84
TV_COMPUTER_SCIENCE_DATA_STRUCTURES_04,computer_science/data_structures.md,4,85,154,53,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/data_structures.md#L85-L154
TV_COMPUTER_SCIENCE_DATA_STRUCTURES_05,computer_science/data_structures.md,5,155,217,18,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/data_structures.md#L155-L217
TV_COMPUTER_SCIENCE_DATA_STRUCTURES_06,computer_science/data_structures.md,6,218,248,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/data_structures.md#L218-L248
TV_COMPUTER_SCIENCE_DATA_STRUCTURES_07,computer_science/data_structures.md,7,249,257,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/data_structures.md#L249-L257
TV_COMPUTER_SCIENCE_DATA_STRUCTURES_08,computer_science/data_structures.md,8,258,307,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/data_structures.md#L258-L307
TV_COMPUTER_SCIENCE_DATA_STRUCTURES_09,computer_science/data_structures.md,9,308,366,11,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/data_structures.md#L308-L366
TV_COMPUTER_SCIENCE_DATA_STRUCTURES_10,computer_science/data_structures.md,10,367,398,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/data_structures.md#L367-L398
TV_COMPUTER_SCIENCE_DATA_STRUCTURES_11,computer_science/data_structures.md,11,399,434,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/data_structures.md#L399-L434
TV_COMPUTER_SCIENCE_DATA_STRUCTURES_12,computer_science/data_structures.md,12,435,441,46,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/data_structures.md#L435-L441
TV_COMPUTER_SCIENCE_DATA_STRUCTURES_13,computer_science/data_structures.md,13,442,470,17,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/data_structures.md#L442-L470
TV_COMPUTER_SCIENCE_DATA_STRUCTURES_14,computer_science/data_structures.md,14,471,511,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/data_structures.md#L471-L511
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_01,computer_science/design_patterns.md,1,3,65,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L3-L65
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_02,computer_science/design_patterns.md,2,66,146,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L66-L146
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_03,computer_science/design_patterns.md,3,147,200,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L147-L200
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_04,computer_science/design_patterns.md,4,201,262,16,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L201-L262
